metric,district,school,year,behavior,count,rate,share,enrollment,status_flag
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,Drugs and Alcohol,3.0,0.63,0.0435,474.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,Endangering Behavior,15.0,3.16,0.2174,474.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,Weapon Related,2.0,0.42,0.029,474.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2019-20,Other Violation of School Rules,46.0,9.7,0.6667,474.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,All incidents,0.0,0.0,,424.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,Assault,0.0,0.0,,424.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,Drugs and Alcohol,0.0,0.0,,424.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,Endangering Behavior,0.0,0.0,,424.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,Weapon Related,0.0,0.0,,424.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2020-21,Other Violation of School Rules,0.0,0.0,,424.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,All incidents,23.0,5.39,,427.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,Assault,5.0,1.17,0.2174,427.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,Drugs and Alcohol,2.0,0.47,0.087,427.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,Endangering Behavior,0.0,0.0,0.0,427.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,Weapon Related,0.0,0.0,0.0,427.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2021-22,Other Violation of School Rules,16.0,3.75,0.6957,427.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,All incidents,1.0,0.26,,389.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,Assault,0.0,0.0,0.0,389.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,Drugs and Alcohol,0.0,0.0,0.0,389.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,Endangering Behavior,0.0,0.0,0.0,389.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,Weapon Related,0.0,0.0,0.0,389.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2022-23,Other Violation of School Rules,1.0,0.26,1.0,389.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,All incidents,20.0,5.29,,378.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,Assault,3.0,0.79,0.15,378.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,Drugs and Alcohol,1.0,0.26,0.05,378.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,Endangering Behavior,8.0,2.12,0.4,378.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,Weapon Related,0.0,0.0,0.0,378.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2023-24,Other Violation of School Rules,8.0,2.12,0.4,378.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,All incidents,28.0,8.16,,343.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,Assault,5.0,1.46,0.1786,343.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,Drugs and Alcohol,8.0,2.33,0.2857,343.0,
