metric,dimension,group,district,school,year,value,share,status_flag
enrollment,Disability Status,SwD,Franklin Public,Country Dale Elementary,2019-20,49.0,0.1012,
enrollment,Disability Status,SwoD,Franklin Public,Country Dale Elementary,2019-20,435.0,0.8988,
enrollment,Disability Status,SwD,Franklin Public,Country Dale Elementary,2020-21,45.0,0.102,
enrollment,Disability Status,SwoD,Franklin Public,Country Dale Elementary,2020-21,396.0,0.898,
enrollment,Disability Status,SwD,Franklin Public,Country Dale Elementary,2021-22,43.0,0.0947,
enrollment,Disability Status,SwoD,Franklin Public,Country Dale Elementary,2021-22,411.0,0.9053,
enrollment,Disability Status,SwD,Franklin Public,Country Dale Elementary,2022-23,48.0,0.1074,
enrollment,Disability Status,SwoD,Franklin Public,Country Dale Elementary,2022-23,399.0,0.8926,
enrollment,Disability Status,SwD,Franklin Public,Country Dale Elementary,2023-24,51.0,0.1151,
enrollment,Disability Status,SwoD,Franklin Public,Country Dale Elementary,2023-24,392.0,0.8849,
enrollment,Disability Status,SwD,Franklin Public,Country Dale Elementary,2024-25,47.0,0.1076,
enrollment,Disability Status,SwoD,Franklin Public,Country Dale Elementary,2024-25,390.0,0.8924,
enrollment,Disability Status,SwD,Franklin Public,Forest Park Middle,2018-19,58.0,0.0826,
enrollment,Disability Status,SwoD,Franklin Public,Forest Park Middle,2018-19,644.0,0.9174,
enrollment,Disability Status,SwD,Franklin Public,Forest Park Middle,2019-20,86.0,0.0783,
enrollment,Disability Status,SwoD,Franklin Public,Forest Park Middle,2019-20,1013.0,0.9217,
enrollment,Disability Status,SwD,Franklin Public,Forest Park Middle,2020-21,100.0,0.0901,
enrollment,Disability Status,SwoD,Franklin Public,Forest Park Middle,2020-21,1010.0,0.9099,
enrollment,Disability Status,SwD,Franklin Public,Forest Park Middle,2021-22,97.0,0.09,
enrollment,Disability Status,SwoD,Franklin Public,Forest Park Middle,2021-22,981.0,0.91,
enrollment,Disability Status,SwD,Franklin Public,Forest Park Middle,2022-23,93.0,0.0858,
enrollment,Disability Status,SwoD,Franklin Public,Forest Park Middle,2022-23,991.0,0.9142,
enrollment,Disability Status,SwD,Franklin Public,Forest Park Middle,2023-24,88.0,0.0819,
enrollment,Disability Status,SwoD,Franklin Public,Forest Park Middle,2023-24,986.0,0.9181,
enrollment,Disability Status,SwD,Franklin Public,Forest Park Middle,2024-25,97.0,0.0919,
enrollment,Disability Status,SwoD,Franklin Public,Forest Park Middle,2024-25,959.0,0.9081,
enrollment,Disability Status,SwD,Franklin Public,Franklin High,2018-19,110.0,0.0703,
enrollment,Disability Status,SwoD,Franklin Public,Franklin High,2018-19,1454.0,0.9297,
