metric,dimension,group,unit,district,school,year,cohort_class,value,ext_rate,ext_timeframe,diploma,cohort_count,gap_reason,status_flag
hs_completion,Disability Status,SwD,pct,Milwaukee,Milwaukee County Youth Education Center,2017-18,2018,0.0,,,0.0,11.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,Milwaukee Community Cyber High,2017-18,2018,87.3239,85.5263,6-Year rate,62.0,71.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,Milwaukee Community Cyber High,2017-18,2018,84.2105,84.2105,6-Year rate,16.0,19.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,Marshall High,2017-18,2018,86.7052,87.7005,7-Year rate,150.0,173.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,Marshall High,2017-18,2018,39.3939,55.7377,7-Year rate,26.0,66.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,MacDowell Montessori School K3-12,2017-18,2018,85.1852,96.1538,7-Year rate,23.0,27.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,MacDowell Montessori School K3-12,2017-18,2018,50.0,66.6667,7-Year rate,5.0,10.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,Milwaukee School of Languages,2017-18,2018,43.75,50.0,7-Year rate,7.0,16.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,Lad Lake Synergy School,2017-18,2018,,45.8333,7-Year rate,,25.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
hs_completion,Disability Status,SwoD,pct,Milwaukee,King International,2017-18,2018,98.1651,99.0798,7-Year rate,321.0,327.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,King International,2017-18,2018,64.2857,67.8571,7-Year rate,18.0,28.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,James Madison Academic Campus,2017-18,2018,79.3296,85.0,7-Year rate,142.0,179.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,James Madison Academic Campus,2017-18,2018,43.3962,58.8235,7-Year rate,23.0,53.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,Harold S Vincent School of Agricultural Science,2017-18,2018,61.2903,67.3797,7-Year rate,114.0,186.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,Harold S Vincent School of Agricultural Science,2017-18,2018,33.3333,45.8333,7-Year rate,16.0,48.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,Hamilton High,2017-18,2018,84.4444,88.3871,7-Year rate,266.0,315.0,,
hs_completion,Disability Status,SwD,pct,Milwaukee,Hamilton High,2017-18,2018,63.6364,73.1959,7-Year rate,63.0,99.0,,
hs_completion,Disability Status,SwoD,pct,Milwaukee,HAPA-Hmong American Peace Academy K3-12,2017-18,2018,,,,,64.0,numerator_suppressed,Gapped: regular-diploma count suppressed by DPI — not zero
